"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2017-01-16T22:36:08.046+07:00","0.0","63.69"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2017-01-16T22:37:12.023+07:00","0.0","18.25"
